Price,Distance
1480000.0,2.5
1035000.0,2.5
1465000.0,2.5
850000.0,2.5
1600000.0,2.5
941000.0,2.5
1876000.0,2.5
1636000.0,2.5
1000000.0,2.5
745000.0,2.5
300000.0,2.5
1097000.0,2.5
542000.0,2.5
760000.0,2.5
481000.0,2.5
700000.0,2.5
1350000.0,2.5
750000.0,2.5
1985000.0,2.5
500000.0,2.5
1172500.0,2.5
441000.0,2.5
1310000.0,2.5
1200000.0,2.5
847000.0,2.5
1176500.0,2.5
955000.0,2.5
890000.0,2.5
1330000.0,2.5
900000.0,2.5
1090000.0,2.5
500000.0,2.5
1100000.0,2.5
1315000.0,2.5
480000.0,2.5
423500.0,2.5
426000.0,2.5
1447500.0,2.5
457000.0,2.5
1135000.0,2.5
700000.0,2.5
1542000.0,2.5
962000.0,2.5
1290000.0,2.5
1290000.0,2.5
470000.0,2.5
1180000.0,2.5
1195000.0,2.5
1012500.0,2.5
970000.0,2.5
1030000.0,2.5
927000.0,2.5
840000.0,13.5
730000.0,13.5
770000.0,13.5
603000.0,13.5
700000.0,13.5
600000.0,13.5
500000.0,13.5
420000.0,13.5
500000.0,13.5
1035000.0,13.5
960000.0,13.5
960000.0,13.5
720000.0,13.5
785000.0,13.5
725000.0,13.5
450000.0,13.5
515000.0,13.5
680000.0,13.5
530000.0,13.5
895000.0,13.5
600000.0,13.5
805000.0,13.5
760000.0,13.5
752000.0,13.5
580000.0,13.5
725000.0,13.5
758000.0,13.5
440000.0,13.5
970000.0,13.5
755000.0,13.5
985000.0,13.5
700000.0,13.5
509500.0,13.5
830000.0,13.5
462500.0,13.5
670000.0,13.5
675000.0,13.5
1042000.0,13.5
910000.0,13.5
773000.0,13.5
715000.0,13.5
810000.0,13.5
715000.0,13.5
790000.0,13.5
460000.0,13.5
540000.0,13.5
825000.0,13.5
685000.0,13.5
445000.0,13.5
805000.0,13.5
510000.0,13.5
612000.0,13.5
662000.0,13.5
978000.0,13.5
720000.0,13.5
474000.0,13.5
490000.0,13.5
405000.0,13.5
715000.0,13.5
671500.0,13.5
765000.0,13.5
900000.0,13.5
820000.0,13.5
650000.0,13.5
552000.0,13.5
1275000.0,3.3
1455000.0,3.3
2850000.0,3.3
1850000.0,3.3
1436000.0,3.3
1110000.0,3.3
1550000.0,3.3
2300000.0,3.3
1550000.0,3.3
1800000.0,3.3
2485000.0,3.3
2120000.0,3.3
1800000.0,3.3
1800000.0,3.3
1810000.0,3.3
2615000.0,3.3
2100000.0,3.3
1300000.0,3.3
1370000.0,3.3
1000000.0,3.3
2575000.0,3.3
1322500.0,3.3
1562500.0,3.3
2000000.0,3.3
1900000.0,3.3
3010000.0,3.3
2800000.0,3.3
647000.0,3.3
2100000.0,3.3
2000000.0,3.3
442500.0,3.3
4735000.0,3.3
1340000.0,3.3
1801000.0,3.3
1532000.0,3.3
3755000.0,3.3
2140000.0,3.3
1810000.0,3.3
1750000.0,3.3
980000.0,3.3
2030000.0,3.3
1740000.0,3.3
2800000.0,3.3
985000.0,3.3
2000000.0,6.4
1110000.0,6.4
1492000.0,6.4
480000.0,6.4
1304000.0,6.4
1717500.0,6.4
2840000.0,6.4
525500.0,6.4
805000.0,6.4
